slug,name,github-url
apollo-elements,Apollo Elements,https://github.com/apollo-elements
blahajland,blahaj.land,https://github.com/blahajland
ice,ice,https://github.com/ice
mlpack,mlpack,https://github.com/mlpack
poiw,po/iw,https://github.com/poiw-org
open-app-ecosystem,Open App Ecosystem,https://github.com/open-app/core
react-awesome-query-builder,react-awesome-query-builder,https://github.com/ukrbublik/react-awesome-query-builder
praw-dev,PRAW,https://github.com/praw-dev
vue-material,Vue Material,https://github.com/vuematerial/vue-material
daobrussels,DAO Brussels,https://github.com/daobrussels
xdebug,Xdebug,https://github.com/xdebug/xdebug
sopel,Sopel,https://github.com/sopel-irc/sopel
lycheeorg,LycheeOrg,https://github.com/LycheeOrg/Lychee
lowdefy-os,Lowdefy,https://github.com/lowdefy/lowdefy
websockets,websockets,https://github.com/python-websockets/websockets
urduhack,UrduHack,https://github.com/urduhack
monotorrent,MonoTorrent,https://github.com/alanmcgovern/monotorrent
cspell,CSpell,https://github.com/streetsidesoftware/cspell
fissiondrive,Fission Drive,https://github.com/fission-suite
rebelsmanager,XR Rebels Manager,https://github.com/extinctionrebellion/RebelsManager
cp-algorithms,cp-algorithms,https://github.com/e-maxx-eng/e-maxx-eng
revogrid,Revogrid,https://github.com/revolist/revogrid
makurspace,MakUrSpace,https://github.com/MakUrSpace
loadable,Loadable Components,https://github.com/smooth-code/loadable-components
lychee-collective,lychee,https://github.com/lycheeverse
abelljs,Abell,https://github.com/abelljs
prettier-eslint,Prettier ESLint,https://github.com/prettier/prettier-eslint
nekox,Nekogram X for Telegram,https://github.com/nekohasekai
vanilla-rtb,vanilla-rtb,https://github.com/vanilla-rtb
datafestafrica,Data Community Africa,https://github.com/datafestafrica
gfx-rs,gfx-rs hardware,https://github.com/gfx-rs
go-coap,Go-Coap,https://github.com/go-ocf
semaphore,Semaphore UI,https://github.com/semaphoreui/semaphore
bevry,Bevry,https://github.com/bevry
ngx-bootstrap,ngx-bootstrap,https://github.com/valor-software/ngx-bootstrap
fre,fre,https://github.com/yisar/fre
