slug,name,twitter-url
enfantterriblefilms,Enfant Terrible Films,https://twitter.com/enfantterriblef
whatsie,Whatsie,https://twitter.com/keshavmail68
westpa,WESTPA,https://twitter.com/ltchong
cobbler,Cobbler,https://twitter.com/cobblerproject
wiadla,World IA Day Los Angeles,https://twitter.com/wiadla
discoverscible,Scible,https://twitter.com/DiscoverScible
rot-collective,ROT Collective (fka The Rights Collective),https://x.com/ROTCollective
iconify,Iconify,https://twitter.com/slava_trushkin
wwcodeeastbay,WWCode East Bay,https://twitter.com/wwcode_eastbay
vatsimspain,VATSIM Spain,https://x.com/vatsimSpain?t=gZh34VtmK7hNRwo1vmffiw&s=09
less,Less,https://twitter.com/LessToCSS
jamstatic,Jamstatic,https://twitter.com/jamstatic_fr
cupy,CuPy,https://twitter.com/CuPy_Team
heylinda,Hey Linda,https://twitter.com/heylinda_app
notesnook,Notesnook,https://twitter.com/notesnook
poliastro,poliastro,https://twitter.com/poliastro_py
mathesar,Mathesar,https://twitter.com/mathesar_org
wwcoderecife,WWCode Recife,https://twitter.com/WWCode_Recife
thenewcitizen-europe,The New Citizen Europe,https://twitter.com/newcitizenmedia
rxts,RxTS,https://twitter.com/JounQin
fenics-project,FEniCS Project,https://twitter.com/fenicsproject
waasabi,Waasabi open source event streaming framework,https://twitter.com/bayareatechclub
blosc,Blosc,https://twitter.com/Blosc2
dkfm,DKFM,https://twitter.com/_dkfm_
django-import-export,django-import-export,https://twitter.com/django_import
sit,SIT,https://twitter.com/sitfyi
misskey,misskey,https://twitter.com/syuilo
vvvebjs,Vvveb,https://twitter.com/vvvebcms
students-for-future-freiburg,Students for Future Freiburg,https://twitter.com/FreiburgSff
ultimate-backend,XRAPH Projects,https://twitter.com/rex_raph
dynamoose,Dynamoose,https://twitter.com/dynamoosejs
earth-social-conference,Earth Social Conference,https://twitter.com/EarthSocialConf
befrank,BeFrank,https://twitter.com/befrankbfr
liberta,Liberta,https://twitter.com/LibertaVip
worldwide-telescope,WorldWide Telescope,https://twitter.com/wwtelescope
whitstable-foodies-market,Whitstable Umbrella Community Centre,https://twitter.com/WhitFoodies
whitestormjs,WhitestormJS Engine,https://twitter.com/_alex_buzin
wownero,Wownero,https://twitter.com/W0wn3r0
domino-ui,Domino Ui,https://twitter.com/dominokit
ukraine-war-archive,Ukraine War Archive,https://x.com/UaWarArchive
saasfly,Saasfly,https://twitter.com/nextify2024
pmd,PMD,https://twitter.com/pmd_analyzer
lucide-icons,Lucide Icons,https://twitter.com/lucide_icons
otherwisemag,OtherwiseMag,https://twitter.com/OtherwiseMag
laravel-wallet,Laravel Wallet,https://twitter.com/REZ1DENT3
network-time-foundation,Network Time Foundation,https://twitter.com/NetworkTimeFnd
onethird-project,One/Third Project,https://twitter.com/project_third
mir_community,MiR Community,https://twitter.com/miR_community
caencamp,CaenCamp,https://twitter.com/CaenCamp
open-credit-network,Open Credit Network,https://twitter.com/CreditOpen
amogos,AmogOS,https://twitter.com/Amog_0S
the-gwent-alliance,The Gwent Mental Health and LD Alliance,https://twitter.com/AllianceGwent
nakas,North American Karuta Appreciation Society,https://twitter.com/nakaruta
r2devops,R2Devops - The open source marketplace of CI/CD templates,https://twitter.com/r2devops_io
openbootcamp,OpenBootcamp,https://twitter.com/Open_Bootcamp
fabio,fabio,https://twitter.com/magiconair
pelican-plus-tra,Pelican Plus Tenants & Residents Association,https://twitter.com/PelicanPlus
pybamm,PyBaMM,https://twitter.com/pybamm_
kettenreaktion-osnabruck,Kettenreaktion Osnabrück,https://twitter.com/KR_Osnabrueck
lesbarbares,Les Barbares,https://twitter.com/100barbares
greenweb-collective,Green Web Foundation Collective,https://twitter.com/greenwebfound
black-europeans,Black Europeans,https://twitter.com/black_europeans/status/1582378719275937792
ice,ice,https://twitter.com/iceframework
save-birmingham,Save Birmingham,https://twitter.com/savebirmingham
slow-circular-earth-uk,Slow Circular Earth UK,https://twitter.com/slow_circularuk
daobrussels,DAO Brussels,https://twitter.com/daobrussels
sopel,Sopel,https://twitter.com/SopelIRC
lowdefy-os,Lowdefy,https://twitter.com/lowdefy
urduhack,UrduHack,https://twitter.com/urduhack
volcano-vibe,Volcano Vibe,https://twitter.com/VibeVolcano
eastbourne-eco-action-network,Eastbourne Eco Action Network,https://twitter.com/EActioneb
climate-child-protection,Climate Child Protection and Safeguarding Team,https://child_climate/
york-together,York Together,https://twitter.com/YorkTogether
fissiondrive,Fission Drive,https://twitter.com/fissioncodes
makurspace,MakUrSpace,https://twitter.com/makurspace
metapsychosis,Metapsychosis,https://twitter.com/metapsychonaut
bludit,Bludit,https://twitter.com/bludit
feedthatkid,Feed that Kid Global,https://twitter.com/FeedThatKid
abelljs,Abell,https://twitter.com/AbellLand
vanilla-rtb,vanilla-rtb,https://twitter.com/vanilla_rtb
datafestafrica,Data Community Africa,https://twitter.com/DataFestAfrica
wwcodeaccra,WWCode Accra,https://twitter.com/wwcodeaccra
macc_nyc,MACC NYC,https://twitter.com/macc_nyc
llandaffcovid19assistance,Llandaff Covid 19 Assistance,https://twitter.com/Llandaff_Covid
semaphore,Semaphore UI,https://twitter.com/semaphoreui
